Diet,Heating Energy Source,Transport,Monthly Grocery Bill,Frequency of Traveling by Air,Vehicle Monthly Distance Km,Waste Bag Weekly Count,Weekly Electricity Usage,Carbon_Emission
vegetarian,electricity,walk/bicycle,144,never,31,3,147,121.6
vegetarian,wood,walk/bicycle,209,frequently,13,4,245,403.2
vegetarian,natural gas,public,220,never,325,2,217,284.2
vegan,natural gas,private,191,frequently,5831,4,210,472.8
vegan,wood,walk/bicycle,266,rarely,95,6,154,451.8
omnivore,coal,walk/bicycle,273,very frequently,85,5,84,558.8
omnivore,coal,walk/bicycle,162,never,30,6,322,314.0
omnivore,natural gas,walk/bicycle,166,never,5,5,210,247.2
pescatarian,natural gas,private,173,very frequently,5177,6,182,480.8
vegan,electricity,private,86,never,1625,6,98,226.0
omnivore,natural gas,walk/bicycle,163,never,24,6,252,262.0
vegetarian,natural gas,private,132,rarely,899,1,140,205.0
vegan,coal,walk/bicycle,214,frequently,57,2,224,582.0
vegetarian,electricity,public,133,frequently,809,4,301,463.0
vegan,wood,public,270,never,1927,3,294,334.4
vegan,natural gas,private,134,rarely,4601,2,161,381.6
pescatarian,electricity,walk/bicycle,130,frequently,96,7,266,353.4
vegan,electricity,private,146,very frequently,9467,5,189,703.8
pescatarian,electricity,public,202,frequently,41,5,189,455.2
vegan,natural gas,public,254,very frequently,111,6,217,454.6
vegan,natural gas,public,245,frequently,1974,1,119,337.0
pescatarian,natural gas,walk/bicycle,250,very frequently,53,1,147,529.4
vegan,wood,public,52,very frequently,100,4,119,446.4
omnivore,natural gas,private,262,rarely,8441,4,133,866.8
vegetarian,electricity,private,128,very frequently,2425,5,112,508.0
pescatarian,coal,private,176,rarely,5755,4,161,786.8
vegan,coal,public,279,frequently,691,4,49,395.2
omnivore,natural gas,public,178,very frequently,1019,4,168,570.6
pescatarian,electricity,walk/bicycle,115,frequently,65,2,161,363.8
vegetarian,electricity,walk/bicycle,249,rarely,81,3,294,201.8
vegetarian,wood,public,237,rarely,1821,3,154,338.0
vegan,wood,private,263,frequently,7530,4,252,573.4
vegan,coal,private,188,very frequently,8594,1,21,900.4
vegetarian,natural gas,public,139,rarely,727,4,133,358.2
vegetarian,wood,private,159,frequently,3,2,210,291.2
omnivore,coal,private,128,very frequently,5550,3,112,835.6
vegan,natural gas,private,290,rarely,7564,3,77,832.6
vegan,wood,walk/bicycle,161,rarely,9,4,231,383.4
vegan,natural gas,private,108,rarely,7812,7,119,615.4
pescatarian,natural gas,walk/bicycle,199,frequently,65,1,196,302.8
pescatarian,wood,walk/bicycle,260,rarely,91,7,210,484.0
vegetarian,electricity,public,244,never,1051,6,126,252.6
vegetarian,coal,private,154,very frequently,8445,5,0,908.4
omnivore,natural gas,walk/bicycle,106,never,62,6,28,365.2
omnivore,coal,walk/bicycle,225,rarely,98,6,308,539.8
omnivore,electricity,public,254,never,1431,2,161,233.8
omnivore,natural gas,public,107,never,495,1,70,211.2
vegan,electricity,public,290,frequently,1555,5,98,390.8
omnivore,electricity,walk/bicycle,193,frequently,35,4,175,511.6
vegetarian,natural gas,private,164,rarely,4581,1,231,217.0
vegan,coal,private,274,never,4910,4,168,746.4
omnivore,electricity,private,123,very frequently,5439,7,182,877.2
vegan,coal,public,62,frequently,1212,4,280,401.2
pescatarian,natural gas,private,210,never,3136,1,196,290.8
pescatarian,wood,walk/bicycle,213,never,25,6,224,419.6
pescatarian,coal,private,263,never,1763,2,182,471.8
vegan,coal,private,142,very frequently,2883,7,161,525.8
vegan,wood,public,167,frequently,1659,5,126,334.0
omnivore,coal,private,192,very frequently,1051,3,182,413.8
omnivore,coal,public,151,rarely,1861,2,210,261.6
omnivore,wood,walk/bicycle,96,very frequently,6,6,28,445.0
omnivore,natural gas,walk/bicycle,89,frequently,32,2,168,308.0
omnivore,natural gas,private,77,very frequently,4281,1,231,525.0
omnivore,electricity,walk/bicycle,94,very frequently,72,4,112,462.6
omnivore,coal,public,236,never,1377,1,126,310.4
vegan,wood,public,112,frequently,1930,6,189,464.6
pescatarian,wood,private,295,very frequently,7701,7,126,1050.0
vegetarian,coal,public,64,frequently,1103,7,224,427.6
pescatarian,coal,public,89,frequently,1856,5,273,506.8
omnivore,natural gas,public,209,very frequently,1544,3,252,500.4
vegetarian,coal,public,84,frequently,1470,4,252,428.6
vegan,coal,public,56,frequently,242,1,210,376.0
pescatarian,electricity,private,209,very frequently,7905,4,259,611.6
vegetarian,natural gas,walk/bicycle,176,frequently,75,4,133,307.2
vegan,wood,private,285,frequently,4313,6,287,543.2
pescatarian,coal,private,94,very frequently,7992,7,252,1132.4
omnivore,natural gas,walk/bicycle,84,frequently,31,1,259,435.2
pescatarian,coal,private,248,never,189,3,224,378.0
omnivore,electricity,private,156,frequently,4070,4,168,495.0
vegan,natural gas,walk/bicycle,162,frequently,67,5,126,329.2
vegan,electricity,private,190,very frequently,7322,1,42,510.2
vegetarian,natural gas,public,242,very frequently,1595,1,259,668.8
omnivore,electricity,public,272,very frequently,1597,5,70,607.4
pescatarian,electricity,walk/bicycle,116,rarely,24,4,161,266.2
pescatarian,wood,public,74,rarely,1875,7,140,234.6
pescatarian,wood,walk/bicycle,258,frequently,74,7,98,479.0
omnivore,natural gas,public,218,rarely,1462,1,154,291.4
omnivore,wood,walk/bicycle,229,frequently,22,4,98,476.6
pescatarian,natural gas,private,67,very frequently,6384,5,203,798.0
omnivore,electricity,private,247,rarely,5479,1,154,692.6
vegan,electricity,public,289,very frequently,458,5,210,503.4
omnivore,coal,walk/bicycle,216,frequently,56,6,189,503.2
vegan,natural gas,walk/bicycle,278,frequently,45,4,112,350.6
vegan,wood,public,128,rarely,1990,3,154,255.0
vegan,electricity,private,169,frequently,2584,6,196,548.6
vegan,coal,private,71,frequently,6667,1,70,581.0
vegetarian,natural gas,private,51,never,976,3,196,327.8
vegetarian,wood,walk/bicycle,262,frequently,49,1,189,277.0
vegan,electricity,public,64,very frequently,664,2,196,397.0
omnivore,electricity,walk/bicycle,286,never,15,5,126,250.0
vegetarian,wood,private,187,frequently,2254,2,287,478.6
vegan,coal,private,152,never,957,1,203,194.8
vegan,natural gas,public,128,never,1894,6,154,266.0
omnivore,coal,public,114,very frequently,370,1,56,621.2
vegan,coal,walk/bicycle,162,frequently,12,4,98,404.0
vegan,natural gas,private,178,never,4157,3,238,383.0
pescatarian,wood,walk/bicycle,277,very frequently,96,2,168,467.2
pescatarian,natural gas,public,146,frequently,1221,6,259,360.0
vegetarian,natural gas,private,128,rarely,5716,6,119,553.4
vegetarian,coal,walk/bicycle,213,frequently,13,7,231,467.2
vegan,coal,private,273,rarely,3263,6,112,817.4
pescatarian,electricity,public,143,rarely,658,5,182,223.4
omnivore,natural gas,private,259,very frequently,8046,6,217,1116.6
vegan,electricity,private,50,never,2733,1,161,253.2
vegetarian,wood,private,222,frequently,6767,2,63,705.8
omnivore,coal,private,292,very frequently,2727,2,273,868.0
vegetarian,electricity,private,199,never,9805,2,273,145.0
omnivore,wood,public,254,frequently,304,3,273,499.8
vegetarian,electricity,private,194,very frequently,3150,2,35,746.0
vegan,electricity,public,109,frequently,902,3,140,379.2
vegan,coal,private,225,very frequently,1546,3,280,588.2
vegan,coal,private,121,very frequently,1996,6,49,625.6
vegan,coal,public,67,frequently,1541,7,196,487.8
vegetarian,coal,private,186,very frequently,8291,5,105,1207.4
pescatarian,natural gas,private,145,never,5932,7,14,261.8
pescatarian,electricity,public,132,rarely,1015,1,154,186.6
vegetarian,wood,public,236,rarely,1713,3,259,297.8
omnivore,wood,walk/bicycle,197,frequently,64,5,287,404.6
pescatarian,electricity,public,292,frequently,1893,4,133,297.0
vegan,wood,walk/bicycle,292,frequently,16,7,189,290.2
pescatarian,wood,public,86,rarely,1727,6,168,379.2
omnivore,electricity,private,230,rarely,5606,3,140,470.6
omnivore,natural gas,walk/bicycle,56,never,71,5,70,269.8
vegetarian,wood,walk/bicycle,229,never,33,6,189,315.2
vegan,wood,private,80,never,3000,7,154,450.4
vegan,electricity,public,148,never,698,2,105,201.8
vegan,natural gas,walk/bicycle,236,rarely,82,4,98,194.2
vegan,wood,walk/bicycle,216,very frequently,37,5,210,428.2
omnivore,natural gas,private,296,never,680,7,126,429.2
vegan,natural gas,public,288,very frequently,1380,5,224,775.6
vegetarian,coal,walk/bicycle,252,frequently,36,4,147,492.6
pescatarian,natural gas,private,188,very frequently,3996,3,175,604.4
vegan,natural gas,private,274,rarely,3604,1,77,565.0
omnivore,coal,public,272,frequently,774,4,175,468.2
vegan,electricity,public,70,very frequently,1591,6,217,509.0
omnivore,coal,private,180,very frequently,2525,5,196,576.6
vegan,electricity,private,82,frequently,5887,4,70,456.4
omnivore,wood,walk/bicycle,240,never,58,6,266,282.2
vegan,coal,private,236,rarely,3586,5,175,255.8
vegetarian,electricity,walk/bicycle,190,frequently,47,2,196,360.6
pescatarian,coal,public,142,very frequently,1708,6,70,634.6
vegetarian,wood,public,179,frequently,838,5,56,372.8
omnivore,electricity,public,132,frequently,1045,1,238,262.0
pescatarian,natural gas,walk/bicycle,113,frequently,67,7,119,442.2
vegetarian,wood,walk/bicycle,296,frequently,1,2,105,372.6
pescatarian,electricity,public,219,rarely,403,6,210,340.6
vegan,electricity,public,98,never,1888,4,126,342.8
vegan,coal,public,235,rarely,1920,6,189,363.4
pescatarian,electricity,public,146,never,661,5,175,211.4
pescatarian,wood,public,102,frequently,1856,6,329,351.4
vegetarian,electricity,public,125,very frequently,875,7,203,438.4
vegetarian,coal,walk/bicycle,82,frequently,63,5,133,429.6
pescatarian,natural gas,private,132,never,7092,4,14,463.8
vegetarian,electricity,public,142,rarely,579,3,133,246.2
pescatarian,wood,public,50,frequently,1886,1,266,392.4
vegetarian,natural gas,public,85,frequently,248,1,175,295.6
omnivore,coal,public,222,very frequently,1946,1,63,508.4
vegetarian,electricity,public,191,never,1024,2,126,211.8
pescatarian,electricity,public,247,rarely,1590,2,112,243.2
pescatarian,electricity,public,111,never,870,3,280,262.8
vegan,natural gas,public,225,rarely,1118,5,266,405.6
omnivore,coal,public,161,very frequently,60,5,203,492.4
omnivore,coal,private,115,very frequently,2956,2,238,689.2
vegan,wood,walk/bicycle,75,never,79,7,231,277.0
omnivore,natural gas,public,212,frequently,1082,5,28,330.8
vegan,natural gas,public,81,rarely,1602,4,210,236.8
omnivore,electricity,private,105,very frequently,7567,6,196,875.4
vegan,natural gas,walk/bicycle,173,rarely,78,5,84,298.8
vegetarian,natural gas,private,126,frequently,3589,5,21,484.4
vegan,wood,walk/bicycle,124,never,80,1,203,237.4
vegan,electricity,walk/bicycle,58,very frequently,2,5,196,534.6
vegetarian,electricity,walk/bicycle,91,never,56,7,168,219.0
pescatarian,coal,private,254,frequently,8180,3,56,389.6
omnivore,electricity,public,119,very frequently,25,6,91,485.4
vegetarian,coal,walk/bicycle,265,never,99,7,49,297.2
omnivore,coal,private,243,never,2024,5,175,483.4
pescatarian,coal,private,209,very frequently,5583,2,14,596.4
vegan,natural gas,walk/bicycle,272,frequently,1,4,140,337.4
omnivore,coal,walk/bicycle,128,very frequently,54,4,196,474.0
omnivore,wood,public,215,frequently,1592,6,119,445.4
vegan,wood,public,198,frequently,1379,2,154,238.8
vegetarian,electricity,walk/bicycle,85,never,77,2,140,185.0
omnivore,electricity,private,111,rarely,8109,4,133,710.4
vegetarian,electricity,walk/bicycle,162,never,18,5,98,306.0
pescatarian,wood,public,288,very frequently,1977,4,98,613.6
pescatarian,coal,walk/bicycle,231,very frequently,5,3,147,616.4
vegan,natural gas,walk/bicycle,79,frequently,42,2,161,281.0
vegetarian,wood,private,202,rarely,5743,4,91,311.4
vegan,coal,private,284,rarely,4994,1,280,706.8
pescatarian,electricity,public,190,frequently,1238,7,91,360.6
vegan,coal,private,291,frequently,4127,3,273,743.4
pescatarian,natural gas,private,250,rarely,8264,2,224,990.4
vegan,electricity,public,77,never,1564,1,301,244.6
pescatarian,coal,private,281,frequently,6484,7,133,568.4
vegan,wood,walk/bicycle,130,rarely,46,1,210,236.8
omnivore,coal,public,120,frequently,919,1,28,345.8
omnivore,wood,private,113,rarely,7762,6,133,836.0
vegetarian,coal,public,234,rarely,1140,7,140,488.8
omnivore,natural gas,walk/bicycle,101,never,21,2,175,230.0
omnivore,electricity,private,230,very frequently,4302,6,154,902.6
omnivore,electricity,walk/bicycle,223,never,96,2,133,123.0
omnivore,wood,private,192,frequently,7397,7,182,885.2
vegetarian,electricity,public,111,rarely,1236,7,140,273.0
omnivore,wood,walk/bicycle,144,rarely,6,1,210,312.6
vegan,wood,private,80,never,3635,2,21,253.0
pescatarian,coal,walk/bicycle,123,very frequently,21,7,56,762.6
pescatarian,natural gas,walk/bicycle,164,very frequently,89,4,147,537.8
pescatarian,electricity,walk/bicycle,85,very frequently,67,1,203,395.0
omnivore,wood,walk/bicycle,64,never,38,4,84,285.0
vegan,coal,walk/bicycle,54,rarely,80,6,91,390.0
pescatarian,wood,public,122,very frequently,934,4,161,570.6
pescatarian,electricity,public,282,rarely,1964,2,266,293.0
pescatarian,wood,public,292,frequently,171,3,168,387.0
vegetarian,coal,private,157,very frequently,6299,5,182,743.2
omnivore,coal,walk/bicycle,232,very frequently,57,1,273,522.6
pescatarian,natural gas,private,91,rarely,6069,3,203,466.0
omnivore,coal,private,141,frequently,2072,6,14,427.6
pescatarian,coal,walk/bicycle,125,frequently,48,4,119,417.6
omnivore,coal,walk/bicycle,220,very frequently,35,5,119,752.8
omnivore,wood,public,81,rarely,1520,7,140,531.4
omnivore,electricity,public,83,rarely,1031,2,133,262.6
omnivore,natural gas,walk/bicycle,285,frequently,1,2,98,381.2
pescatarian,wood,walk/bicycle,233,very frequently,65,3,98,598.6
vegetarian,electricity,private,210,very frequently,6910,3,189,646.0
vegan,coal,private,143,very frequently,6258,1,196,734.2
omnivore,coal,public,254,very frequently,71,3,238,517.0
pescatarian,natural gas,walk/bicycle,195,never,46,3,294,221.0
vegetarian,wood,private,96,rarely,7094,4,189,568.0
vegan,natural gas,walk/bicycle,254,rarely,79,2,238,210.4
omnivore,electricity,private,139,rarely,3967,1,196,495.0
vegetarian,natural gas,private,212,rarely,3581,4,161,464.0
omnivore,natural gas,private,191,never,477,2,70,291.0
vegan,coal,private,175,frequently,1825,2,175,316.2
vegan,coal,private,166,never,7955,6,224,613.0
omnivore,coal,walk/bicycle,274,rarely,70,3,252,414.8
omnivore,electricity,walk/bicycle,207,rarely,98,4,168,281.4
omnivore,natural gas,walk/bicycle,176,very frequently,21,2,161,544.6
vegetarian,electricity,walk/bicycle,113,never,61,2,273,248.0
pescatarian,coal,private,81,rarely,4360,6,280,373.6
omnivore,natural gas,private,229,never,8057,1,280,558.0
omnivore,electricity,walk/bicycle,211,never,53,1,196,325.8
omnivore,electricity,private,190,very frequently,6654,1,217,887.4
vegetarian,electricity,walk/bicycle,195,never,39,7,112,403.8
vegan,electricity,walk/bicycle,143,very frequently,28,1,140,374.8
vegetarian,wood,private,155,frequently,166,5,42,217.6
vegetarian,coal,public,295,rarely,514,2,245,308.2
vegetarian,coal,private,67,very frequently,3746,1,252,662.6
vegetarian,wood,private,213,frequently,8432,6,161,1087.8
vegetarian,natural gas,private,50,frequently,1216,3,189,313.2
pescatarian,electricity,walk/bicycle,93,very frequently,59,6,77,472.8
vegetarian,natural gas,walk/bicycle,221,never,19,7,231,395.0
vegetarian,coal,walk/bicycle,193,frequently,11,4,182,468.4
vegetarian,coal,walk/bicycle,188,frequently,15,4,28,445.6
vegetarian,wood,public,250,rarely,1457,4,245,360.2
omnivore,natural gas,public,266,frequently,129,3,133,371.4
omnivore,electricity,private,188,rarely,3103,6,35,312.2
vegetarian,natural gas,walk/bicycle,247,very frequently,20,6,175,505.6
omnivore,electricity,walk/bicycle,111,very frequently,44,6,154,420.0
omnivore,electricity,walk/bicycle,117,frequently,50,4,217,368.2
vegetarian,electricity,private,168,very frequently,5779,7,252,792.6
vegan,wood,public,183,frequently,1257,3,126,453.8
vegetarian,coal,walk/bicycle,127,frequently,36,3,119,359.8
omnivore,electricity,private,149,very frequently,216,7,56,511.6
pescatarian,electricity,public,143,frequently,997,7,196,587.6
vegan,wood,public,166,frequently,250,7,189,445.8
pescatarian,natural gas,private,108,never,1066,6,210,208.6
omnivore,electricity,walk/bicycle,226,never,38,6,161,355.8
pescatarian,wood,public,134,never,1510,4,161,277.0
pescatarian,natural gas,private,243,frequently,8162,7,203,340.4
vegetarian,wood,public,274,frequently,1098,4,238,505.0
pescatarian,coal,walk/bicycle,148,frequently,77,1,224,390.4
omnivore,wood,public,74,frequently,1233,1,56,272.2
pescatarian,wood,walk/bicycle,183,frequently,55,4,133,449.0
vegetarian,natural gas,private,163,rarely,6296,7,252,785.4
omnivore,wood,walk/bicycle,162,never,53,2,175,202.4
pescatarian,coal,private,299,very frequently,2670,1,70,640.4
vegan,coal,public,72,very frequently,575,7,273,471.8
vegan,coal,walk/bicycle,166,very frequently,95,1,245,713.8
pescatarian,wood,public,113,rarely,809,4,154,302.0
pescatarian,electricity,public,182,very frequently,390,2,203,385.6
omnivore,natural gas,public,237,never,1409,3,119,345.2
vegan,electricity,private,113,very frequently,8585,3,147,882.8
vegetarian,natural gas,private,253,very frequently,4444,6,147,651.4
vegetarian,wood,walk/bicycle,53,rarely,98,6,245,414.8
omnivore,coal,public,70,never,1828,4,336,323.4
pescatarian,electricity,public,294,never,1557,4,98,313.6
vegetarian,wood,public,74,frequently,1099,6,189,349.8
vegan,wood,private,178,very frequently,3956,7,280,649.4
vegetarian,wood,public,242,very frequently,1718,1,133,570.8
pescatarian,coal,public,169,frequently,442,5,287,402.4
vegetarian,wood,public,264,frequently,304,1,280,306.0
vegan,electricity,walk/bicycle,242,frequently,8,7,126,379.4
omnivore,coal,public,162,very frequently,1948,3,259,549.8
omnivore,coal,walk/bicycle,85,very frequently,64,3,238,510.4
vegetarian,coal,public,135,frequently,1780,3,168,578.6
vegan,electricity,walk/bicycle,162,rarely,3,6,105,315.2
vegan,electricity,public,221,frequently,888,6,105,388.8
vegetarian,electricity,walk/bicycle,184,very frequently,91,3,133,416.0
pescatarian,natural gas,walk/bicycle,76,frequently,45,1,308,411.6
vegetarian,natural gas,walk/bicycle,114,very frequently,79,1,231,470.8
vegan,wood,private,102,frequently,7337,5,105,969.0
